date,city,pm25,pm10,no2,so2,co,o3,aqi_proxy
2025-08-28,New Delhi,32.98,91.35,29.29,13.62,1.36,24.68,94.84
2025-08-29,New Delhi,31.41,104.21,27.2,9.12,2.44,27.39,91.48
2025-08-30,New Delhi,49.94,166.65,30.06,13.9,0.95,20.59,136.34
2025-08-31,New Delhi,34.86,107.11,37.3,9.48,2.0,19.25,98.85
2025-09-01,New Delhi,54.05,117.18,24.4,8.15,1.58,26.58,146.64
2025-09-02,New Delhi,66.98,96.19,33.64,7.78,1.69,20.78,162.19
2025-09-03,New Delhi,46.32,98.27,40.49,8.71,1.25,24.89,127.31
2025-09-04,New Delhi,12.83,87.46,26.58,14.01,1.38,18.8,51.78
2025-09-05,New Delhi,48.26,87.36,32.63,10.69,1.39,19.73,132.16
2025-09-06,New Delhi,38.08,77.9,37.03,11.32,0.99,26.77,106.7
2025-09-07,New Delhi,55.99,116.17,37.11,12.31,2.43,20.37,150.62
2025-09-08,New Delhi,35.69,67.57,49.07,15.71,1.19,17.68,100.74
2025-09-09,New Delhi,44.86,123.35,24.93,4.5,2.43,24.17,123.66
2025-09-10,New Delhi,54.61,95.44,39.49,5.86,1.22,22.6,148.03
2025-09-11,New Delhi,22.42,94.2,33.26,9.49,1.34,16.16,72.26
2025-09-12,New Delhi,28.52,103.86,33.76,6.27,1.59,20.71,85.31
2025-09-13,New Delhi,46.02,59.61,42.84,6.7,1.59,17.4,126.56
2025-09-14,New Delhi,44.09,121.95,39.53,13.79,1.69,24.91,121.74
2025-09-15,New Delhi,28.68,94.32,34.44,14.07,1.36,23.76,85.64
2025-09-16,New Delhi,50.12,120.58,33.96,12.88,0.88,12.61,136.79
2025-09-17,New Delhi,20.81,114.08,40.7,13.09,1.29,19.15,68.82
2025-09-18,New Delhi,46.91,127.32,48.73,12.78,1.69,30.2,128.76
2025-09-19,New Delhi,44.92,90.19,34.0,7.46,1.49,15.63,123.8
2025-09-20,New Delhi,63.3,112.99,48.66,5.51,2.32,13.1,158.32
2025-09-21,New Delhi,33.3,85.15,45.23,11.08,1.46,17.18,95.51
2025-09-22,New Delhi,33.09,122.73,42.34,14.46,1.72,6.18,95.07
2025-09-23,New Delhi,32.92,107.18,32.09,8.72,1.12,27.72,94.71
2025-09-24,New Delhi,54.64,109.64,30.85,10.93,1.02,20.93,148.09
2025-09-25,New Delhi,20.33,70.02,33.87,17.53,0.84,15.03,67.8
2025-09-26,New Delhi,51.05,134.18,37.29,12.51,1.42,18.79,139.13
2025-09-27,New Delhi,48.8,84.7,40.91,5.58,1.92,22.29,133.49
2025-09-28,New Delhi,47.72,68.27,28.83,14.0,1.48,23.89,130.79
2025-07-01,Mumbai,37.12,97.11,24.04,10.7,1.71,24.62,104.31
2025-07-02,Mumbai,38.59,93.3,40.71,9.77,1.45,34.11,107.99
2025-07-03,Mumbai,37.31,120.73,26.57,12.36,1.84,19.69,104.78
2025-07-04,Mumbai,33.47,58.85,30.46,11.98,1.13,23.46,95.87
2025-07-05,Mumbai,29.95,92.76,25.36,10.17,1.36,15.51,88.36
2025-07-06,Mumbai,42.61,82.89,26.59,13.65,1.42,9.5,118.04
2025-07-07,Mumbai,41.22,117.23,29.38,14.89,1.22,25.38,114.56
2025-07-08,Mumbai,64.63,112.53,26.67,7.57,2.03,17.9,159.71
2025-07-09,Mumbai,59.72,89.53,36.39,6.24,1.32,17.32,154.55
2025-07-10,Mumbai,51.0,100.35,39.1,8.93,1.19,23.91,138.99
2025-07-11,Mumbai,35.6,119.6,34.25,9.42,1.74,22.16,100.49
2025-07-12,Mumbai,29.31,78.44,44.37,10.65,0.89,24.87,87.0
2025-07-13,Mumbai,44.45,84.67,27.85,13.4,0.77,17.22,122.62
2025-07-14,Mumbai,50.55,131.2,40.48,7.86,2.17,14.37,137.88
2025-07-15,Mumbai,51.86,108.87,28.82,12.49,1.35,27.02,141.14
2025-07-16,Mumbai,27.88,107.31,33.0,13.85,1.54,30.14,83.94
2025-07-17,Mumbai,54.23,95.67,41.48,12.78,1.75,8.68,147.07
2025-07-18,Mumbai,38.33,128.63,26.6,13.05,1.84,17.98,107.33
2025-07-19,Mumbai,24.48,87.09,51.7,7.81,1.24,16.59,76.68
2025-07-20,Mumbai,64.67,95.91,31.33,14.64,1.79,16.97,159.76
2025-07-21,Mumbai,33.77,121.88,35.66,5.75,0.85,15.86,96.53
2025-07-22,Mumbai,33.28,57.21,26.17,7.64,1.37,32.67,95.47
2025-07-23,Mumbai,45.83,96.15,40.0,9.69,1.72,24.48,126.08
2025-07-24,Mumbai,49.76,154.0,43.05,7.15,1.71,18.21,135.9
2025-07-25,Mumbai,54.2,71.62,26.69,11.43,1.96,25.79,147.0
2025-07-26,Mumbai,61.4,109.67,38.47,8.89,1.89,28.77,156.32
2025-07-27,Mumbai,48.72,97.67,48.78,10.34,1.59,25.23,133.31
2025-07-28,Mumbai,47.69,82.73,38.56,10.28,2.3,27.5,130.72
2025-07-29,Mumbai,41.05,112.94,37.79,14.33,1.35,23.61,114.12
2025-07-30,Mumbai,48.14,100.9,28.73,12.13,1.73,30.46,131.84
2025-07-31,Mumbai,48.33,90.59,42.06,8.02,1.99,29.07,132.32
2025-08-01,Mumbai,65.07,108.24,32.55,10.73,1.71,19.15,160.18
2025-08-02,Mumbai,63.49,109.07,27.81,16.05,1.6,15.78,158.52
2025-08-03,Mumbai,39.26,129.51,50.66,13.43,2.09,29.75,109.65
2025-08-04,Mumbai,58.17,109.27,41.73,12.61,1.26,26.53,152.91
2025-08-05,Mumbai,67.09,96.16,33.89,11.83,1.3,14.87,162.31
2025-08-06,Mumbai,60.03,86.68,34.03,8.57,2.07,27.02,154.87
2025-08-07,Mumbai,47.84,78.16,34.29,12.11,1.64,23.03,131.09
2025-08-08,Mumbai,50.61,113.33,34.85,11.75,1.17,37.82,138.01
2025-08-09,Mumbai,44.71,102.24,39.63,9.17,1.56,22.58,123.29
2025-08-10,Mumbai,36.68,106.3,21.55,15.66,1.88,26.11,103.21
2025-08-11,Mumbai,26.54,81.36,45.77,22.85,2.04,28.97,81.07
2025-08-12,Mumbai,55.26,82.56,44.07,7.1,1.08,14.87,149.64
2025-08-13,Mumbai,62.44,100.62,37.88,10.35,1.11,18.34,157.42
2025-08-14,Mumbai,44.07,74.78,33.7,7.16,1.79,26.31,121.68
2025-08-15,Mumbai,33.42,93.32,50.47,7.46,1.73,22.74,95.76
2025-08-16,Mumbai,61.91,105.03,32.21,10.6,1.59,21.84,156.85
2025-08-17,Mumbai,32.5,123.45,44.04,7.27,1.44,21.23,93.81
2025-08-18,Mumbai,34.61,61.59,30.52,9.33,0.98,23.55,98.31
2025-08-19,Mumbai,64.75,118.55,35.8,4.88,1.85,23.15,159.84
2025-08-20,Mumbai,53.92,137.94,29.18,1.78,1.14,25.32,146.3
2025-08-21,Mumbai,49.29,75.13,24.59,9.34,1.06,25.72,134.72
2025-08-22,Mumbai,45.73,89.12,30.91,11.19,1.58,23.73,125.84
2025-08-23,Mumbai,51.2,97.93,27.4,8.21,1.4,34.85,139.49
2025-08-24,Mumbai,32.73,91.05,36.81,9.49,1.99,20.82,94.3
2025-08-25,Mumbai,46.87,116.51,50.54,14.62,1.51,21.62,128.69
2025-08-26,Mumbai,50.37,103.62,29.98,13.21,1.64,22.27,137.41
2025-08-27,Mumbai,34.72,102.12,21.65,8.66,1.33,24.16,98.55
2025-08-28,Mumbai,73.58,113.39,48.43,12.34,2.01,33.89,169.14
2025-08-29,Mumbai,39.67,82.83,40.97,10.39,1.65,20.79,110.68
2025-08-30,Mumbai,40.48,129.95,26.0,12.46,1.77,13.01,112.7
2025-08-31,Mumbai,37.94,84.76,39.72,9.3,1.53,13.5,106.36
2025-09-01,Mumbai,77.98,102.31,40.64,8.78,1.3,33.51,173.77
2025-09-02,Mumbai,26.83,106.13,26.77,9.18,1.3,16.17,81.68
2025-09-03,Mumbai,50.08,55.08,33.78,10.13,1.02,31.59,136.7
2025-09-04,Mumbai,41.53,94.21,30.87,10.16,2.08,37.11,115.32
2025-09-05,Mumbai,58.59,121.98,49.88,11.15,2.19,27.21,153.36
2025-09-06,Mumbai,49.51,104.55,19.96,11.28,0.94,12.4,135.27
2025-09-07,Mumbai,52.26,78.2,36.01,10.82,1.63,16.85,142.15
2025-09-08,Mumbai,59.42,97.03,38.88,6.81,1.49,28.9,154.23
2025-09-09,Mumbai,57.96,79.96,29.81,7.43,1.3,13.66,152.69
2025-09-10,Mumbai,46.64,111.13,29.05,10.13,1.47,28.61,128.1
2025-09-11,Mumbai,39.55,85.06,27.57,6.99,1.77,21.57,110.38
2025-09-12,Mumbai,49.27,124.28,46.0,5.46,1.82,24.03,134.69
2025-09-13,Mumbai,41.94,103.96,21.04,14.79,1.77,16.97,116.36
2025-09-14,Mumbai,43.05,66.79,34.03,8.95,1.03,26.66,119.14
2025-09-15,Mumbai,66.77,101.95,34.67,11.7,1.55,15.83,161.96
2025-09-16,Mumbai,40.99,92.99,37.18,10.43,1.64,13.08,113.97
2025-09-17,Mumbai,56.36,98.52,55.57,9.24,1.69,39.17,151.01
2025-09-18,Mumbai,50.73,97.3,27.61,14.98,1.1,25.37,138.32
2025-09-19,Mumbai,41.62,93.42,23.42,14.43,1.45,15.2,115.54
2025-09-20,Mumbai,63.22,88.19,37.86,12.92,1.75,9.06,158.23
2025-09-21,Mumbai,57.09,97.02,32.94,10.07,0.92,23.39,151.78
2025-09-22,Mumbai,34.29,95.68,37.73,13.62,1.23,31.23,97.62
2025-09-23,Mumbai,61.74,92.57,27.68,6.07,1.67,17.44,156.68
2025-09-24,Mumbai,64.7,87.54,29.44,11.1,1.29,22.6,159.79
2025-09-25,Mumbai,62.21,103.5,37.52,11.02,0.88,24.88,157.17
2025-09-26,Mumbai,50.73,117.08,40.67,9.79,1.97,20.52,138.33
2025-09-27,Mumbai,52.22,93.52,39.68,9.27,2.22,34.22,142.04
2025-09-28,Mumbai,59.7,130.58,23.79,6.14,1.43,22.26,154.52
2025-07-01,Bengaluru,49.28,70.2,46.98,16.86,2.07,29.1,134.71
2025-07-02,Bengaluru,51.2,81.99,36.3,16.72,1.42,19.68,139.51
2025-07-03,Bengaluru,62.36,122.83,28.8,9.62,1.36,22.78,157.32
2025-07-04,Bengaluru,62.24,83.27,44.44,10.7,2.49,24.6,157.2
2025-07-05,Bengaluru,49.8,113.58,34.54,5.01,1.46,21.19,136.01
2025-07-06,Bengaluru,31.03,99.55,20.22,9.36,1.66,23.35,90.65
2025-07-07,Bengaluru,41.9,94.87,28.23,10.43,1.58,17.18,116.25
2025-07-08,Bengaluru,52.73,105.22,34.6,17.66,1.5,20.8,143.33
2025-07-09,Bengaluru,41.44,76.85,40.0,8.34,1.33,19.12,115.1
2025-07-10,Bengaluru,36.42,63.43,31.72,13.02,1.64,31.72,102.55
2025-07-11,Bengaluru,57.2,108.84,50.41,10.11,1.59,22.72,151.89
2025-07-12,Bengaluru,68.22,100.18,30.69,12.16,1.23,25.8,163.5
2025-07-13,Bengaluru,51.65,92.67,39.08,5.94,1.63,19.49,140.63
2025-07-14,Bengaluru,83.2,102.43,31.16,6.27,2.08,20.46,179.26
2025-07-15,Bengaluru,39.58,106.25,41.09,12.3,1.57,23.24,110.45
2025-07-16,Bengaluru,49.92,103.62,37.9,13.68,1.58,17.59,136.3
2025-07-17,Bengaluru,47.41,114.66,21.61,5.06,1.93,31.62,130.01
2025-07-18,Bengaluru,35.02,102.98,33.34,9.62,1.68,14.51,99.19
2025-07-19,Bengaluru,38.0,96.45,36.2,7.02,1.88,20.08,106.51
2025-07-20,Bengaluru,42.66,103.43,34.09,12.91,1.19,14.29,118.14
2025-07-21,Bengaluru,45.46,100.71,25.74,6.24,1.63,17.75,125.15
2025-07-22,Bengaluru,31.67,118.93,30.99,13.85,1.57,24.49,92.02
2025-07-23,Bengaluru,46.91,51.91,27.01,10.02,1.71,11.65,128.77
2025-07-24,Bengaluru,49.53,78.45,38.32,10.34,1.86,28.9,135.32
2025-07-25,Bengaluru,54.38,116.44,32.92,18.87,1.07,19.2,147.44
2025-07-26,Bengaluru,61.05,116.22,40.77,12.43,0.73,31.87,155.95
2025-07-27,Bengaluru,46.77,124.6,19.65,11.17,1.33,25.49,128.43
2025-07-28,Bengaluru,53.4,107.23,27.15,10.23,1.49,25.64,145.0
2025-07-29,Bengaluru,62.16,104.07,26.33,10.72,2.6,32.07,157.11
2025-07-30,Bengaluru,10.94,97.64,41.93,9.85,1.38,20.74,45.59
2025-07-31,Bengaluru,53.78,73.95,44.05,10.23,1.19,29.53,145.94
2025-08-01,Bengaluru,26.8,83.43,28.82,16.83,1.29,9.5,81.62
2025-08-02,Bengaluru,42.43,109.14,42.5,17.23,2.12,23.38,117.58
2025-08-03,Bengaluru,38.22,131.76,32.77,8.43,1.39,15.06,107.06
2025-08-04,Bengaluru,45.89,98.05,43.34,9.24,1.05,12.83,126.21
2025-08-05,Bengaluru,52.28,101.72,31.55,9.0,1.72,30.52,142.21
2025-08-06,Bengaluru,41.27,103.42,44.68,8.07,1.55,22.0,114.67
2025-08-07,Bengaluru,33.21,102.67,35.97,12.07,1.09,22.31,95.32
2025-08-08,Bengaluru,68.1,144.3,47.7,6.87,1.74,19.61,163.37
2025-08-09,Bengaluru,52.86,84.53,22.32,9.37,1.85,24.08,143.66
2025-08-10,Bengaluru,55.15,105.55,40.06,11.99,1.45,22.89,149.37
2025-08-11,Bengaluru,68.6,100.5,35.28,10.71,1.47,19.51,163.9
2025-08-12,Bengaluru,53.28,91.47,35.44,8.03,1.6,25.34,144.71
2025-08-13,Bengaluru,47.08,60.05,40.91,10.76,1.16,26.89,129.21
2025-08-14,Bengaluru,32.17,120.13,35.1,3.59,1.63,19.75,93.09
2025-08-15,Bengaluru,42.73,85.19,35.04,8.94,0.82,30.03,118.33
2025-08-16,Bengaluru,45.99,84.84,27.09,12.71,1.04,23.0,126.46
2025-08-17,Bengaluru,43.48,90.75,27.71,8.54,1.56,23.74,120.21
2025-08-18,Bengaluru,38.84,96.53,42.26,5.41,1.56,16.71,108.61
2025-08-19,Bengaluru,34.84,102.61,30.49,6.75,2.09,28.11,98.8
2025-08-20,Bengaluru,26.19,70.31,40.59,9.55,2.16,25.93,80.33
2025-08-21,Bengaluru,52.5,79.01,40.01,6.57,2.08,24.79,142.75
2025-08-22,Bengaluru,39.34,115.8,53.87,9.75,1.78,19.65,109.85
2025-08-23,Bengaluru,49.42,68.6,35.69,10.53,2.28,11.75,135.06
2025-08-24,Bengaluru,44.79,124.02,33.25,9.89,1.23,16.46,123.48
2025-08-25,Bengaluru,26.5,86.1,27.63,10.75,1.24,19.44,80.99
2025-08-26,Bengaluru,43.54,98.34,31.44,7.21,1.59,28.74,120.36
2025-08-27,Bengaluru,53.97,91.39,36.33,4.25,1.5,19.94,146.43
2025-08-28,Bengaluru,39.27,86.19,33.23,13.38,2.0,16.79,109.68
2025-08-29,Bengaluru,42.38,89.22,42.42,10.84,1.6,25.38,117.45
2025-08-30,Bengaluru,43.28,128.58,36.73,7.83,1.47,29.97,119.69
2025-08-31,Bengaluru,44.88,119.54,31.14,8.1,1.82,17.0,123.7
2025-09-01,Bengaluru,59.47,107.21,29.18,10.19,1.34,24.53,154.28
2025-09-02,Bengaluru,72.93,93.74,41.01,10.47,1.57,21.3,168.46
2025-09-03,Bengaluru,40.8,108.83,34.77,7.69,1.97,23.06,113.51
2025-09-04,Bengaluru,46.71,126.63,21.07,14.22,1.21,23.6,128.28
2025-09-05,Bengaluru,43.71,83.33,47.58,15.97,1.47,24.33,120.76
2025-09-06,Bengaluru,49.05,133.1,18.34,11.53,1.27,8.04,134.13
2025-09-07,Bengaluru,44.68,136.48,30.78,12.77,2.04,22.51,123.19
2025-09-08,Bengaluru,50.52,65.17,30.11,13.12,1.58,24.59,137.8
2025-09-09,Bengaluru,51.58,144.46,32.83,15.22,1.61,32.38,140.45
2025-09-10,Bengaluru,33.66,102.25,32.25,10.82,2.05,24.5,96.28
2025-09-11,Bengaluru,65.28,88.19,30.35,10.45,1.54,21.26,160.4
2025-09-12,Bengaluru,39.51,125.88,33.87,14.68,1.57,26.01,110.28
2025-09-13,Bengaluru,56.45,83.88,39.15,16.18,1.66,27.64,151.1
2025-09-14,Bengaluru,57.0,105.13,37.1,12.04,1.87,14.17,151.68
2025-09-15,Bengaluru,54.96,99.65,34.55,14.29,1.27,13.42,148.9
2025-09-16,Bengaluru,57.08,69.12,19.57,13.12,1.62,25.05,151.77
2025-09-17,Bengaluru,44.45,72.75,26.88,9.58,1.05,23.95,122.62
2025-09-18,Bengaluru,42.92,102.32,36.54,11.56,1.76,20.34,118.79
2025-09-19,Bengaluru,50.34,103.04,15.95,12.34,1.62,25.4,137.35
2025-09-20,Bengaluru,34.73,94.54,27.64,12.63,1.0,16.48,98.57
2025-09-21,Bengaluru,57.03,89.0,29.5,13.12,1.94,26.35,151.72
2025-09-22,Bengaluru,60.37,96.58,35.41,8.46,1.63,19.06,155.23
2025-09-23,Bengaluru,43.8,111.42,45.32,11.59,2.28,18.0,121.0
2025-09-24,Bengaluru,27.32,114.32,30.13,9.58,0.85,16.78,82.73
2025-09-25,Bengaluru,32.55,92.79,33.64,10.67,2.06,26.13,93.9
2025-09-26,Bengaluru,30.06,112.24,36.99,10.11,1.55,23.72,88.6
2025-09-27,Bengaluru,42.54,98.03,46.14,8.29,1.15,21.78,117.85
2025-09-28,Bengaluru,35.56,65.37,33.65,14.75,1.54,23.54,100.39
2025-07-01,Kolkata,23.03,107.6,36.25,8.41,1.63,23.76,73.56
2025-07-02,Kolkata,38.15,108.48,46.55,9.72,1.21,21.64,106.87
2025-07-03,Kolkata,60.12,76.0,40.96,8.37,1.66,19.42,154.97
2025-07-04,Kolkata,42.99,130.95,25.1,11.86,2.25,26.94,118.99
2025-07-05,Kolkata,31.77,72.15,29.06,10.87,1.65,15.35,92.25
2025-07-06,Kolkata,37.69,82.12,33.93,16.35,1.19,17.02,105.72
2025-07-07,Kolkata,36.88,114.16,36.61,7.71,1.41,17.68,103.71
2025-07-08,Kolkata,50.58,150.54,39.07,10.12,1.29,14.84,137.94
2025-07-09,Kolkata,57.82,112.98,32.04,14.04,1.57,27.06,152.54
2025-07-10,Kolkata,52.3,95.49,27.93,9.96,1.9,19.81,142.26
2025-07-11,Kolkata,55.24,79.04,42.69,11.34,1.08,21.37,149.61
2025-07-12,Kolkata,58.2,71.56,25.87,10.19,2.41,18.54,152.95
2025-07-13,Kolkata,56.71,106.76,31.85,10.88,1.38,20.41,151.38
2025-07-14,Kolkata,28.91,98.85,43.18,10.57,2.0,25.95,86.14
2025-07-15,Kolkata,48.45,87.07,32.03,5.99,1.45,23.48,132.62
2025-07-16,Kolkata,72.75,113.95,30.53,6.08,1.48,27.8,168.26
2025-07-17,Kolkata,45.64,109.37,34.02,12.55,0.92,32.21,125.61
2025-07-18,Kolkata,35.19,114.76,33.53,10.05,1.46,24.31,99.54
2025-07-19,Kolkata,53.89,119.71,46.56,11.4,2.25,23.18,146.21
2025-07-20,Kolkata,64.49,111.54,33.42,10.94,1.76,22.37,159.57
2025-07-21,Kolkata,54.44,117.32,35.87,1.57,2.23,20.53,147.59
2025-07-22,Kolkata,36.49,73.33,31.19,8.71,1.27,18.26,102.73
2025-07-23,Kolkata,56.91,142.05,43.34,13.77,1.41,23.09,151.59
2025-07-24,Kolkata,54.59,86.74,32.51,12.96,2.0,22.92,147.96
2025-07-25,Kolkata,34.24,92.95,24.03,10.63,1.66,20.75,97.53
2025-07-26,Kolkata,52.67,108.85,38.55,6.8,1.46,24.72,143.18
2025-07-27,Kolkata,68.8,94.97,40.51,13.03,1.48,29.41,164.11
2025-07-28,Kolkata,61.7,124.69,38.3,17.48,1.31,35.38,156.63
2025-07-29,Kolkata,55.74,122.98,31.74,12.93,2.13,15.93,150.36
2025-07-30,Kolkata,45.6,54.57,33.24,7.95,1.47,39.8,125.51
2025-07-31,Kolkata,69.32,74.32,39.96,12.8,1.42,23.3,164.65
2025-08-01,Kolkata,53.43,73.9,28.17,10.92,1.6,18.11,145.08
2025-08-02,Kolkata,38.38,96.19,42.23,10.17,2.21,18.76,107.46
2025-08-03,Kolkata,54.78,96.86,42.68,8.06,2.33,12.3,148.44
2025-08-04,Kolkata,71.76,103.88,41.23,14.4,1.9,17.73,167.22
2025-08-05,Kolkata,55.39,135.8,28.43,16.76,1.71,19.86,149.97
2025-08-06,Kolkata,37.31,93.7,19.63,9.15,1.45,15.83,104.79
2025-08-07,Kolkata,58.53,95.83,31.21,9.42,1.7,23.0,153.3
2025-08-08,Kolkata,40.23,101.45,35.18,6.98,1.44,25.69,112.08
2025-08-09,Kolkata,55.02,93.73,40.77,7.46,1.18,20.94,149.04
2025-08-10,Kolkata,65.32,100.36,32.3,15.03,1.45,36.1,160.44
2025-08-11,Kolkata,43.4,79.89,34.85,9.65,1.24,38.25,120.01
2025-08-12,Kolkata,52.19,107.69,31.38,8.67,1.97,12.34,141.99
2025-08-13,Kolkata,36.13,95.62,47.24,9.28,1.73,22.43,101.83
2025-08-14,Kolkata,62.55,67.55,40.35,9.8,1.93,17.66,157.52
2025-08-15,Kolkata,48.38,96.14,27.2,6.56,1.33,23.39,132.44
2025-08-16,Kolkata,41.02,94.26,21.43,9.29,1.97,26.63,114.05
2025-08-17,Kolkata,46.0,101.72,27.99,15.27,2.39,23.52,126.49
2025-08-18,Kolkata,80.79,86.78,26.34,8.27,1.47,36.19,176.73
2025-08-19,Kolkata,44.77,81.23,28.37,13.82,1.96,19.36,123.42
2025-08-20,Kolkata,29.63,80.8,51.23,12.47,1.59,33.84,87.66
2025-08-21,Kolkata,74.08,100.82,36.77,8.65,1.45,13.48,169.66
2025-08-22,Kolkata,30.73,64.52,44.39,5.72,2.34,18.4,90.02
2025-08-23,Kolkata,70.24,92.41,23.11,14.25,2.12,16.86,165.62
2025-08-24,Kolkata,46.67,83.42,35.81,10.72,1.42,11.14,128.18
2025-08-25,Kolkata,41.98,113.2,33.69,9.42,1.19,18.72,116.46
2025-08-26,Kolkata,67.91,79.03,42.41,10.54,1.66,17.92,163.17
2025-08-27,Kolkata,46.37,101.37,32.63,11.39,1.74,34.84,127.41
2025-08-28,Kolkata,51.61,60.22,44.7,9.79,2.36,31.04,140.51
2025-08-29,Kolkata,44.67,116.19,32.29,10.41,1.83,28.99,123.18
2025-08-30,Kolkata,60.0,101.19,55.74,9.3,0.92,13.71,154.84
2025-08-31,Kolkata,66.11,97.2,36.89,8.77,1.38,17.67,161.27
2025-09-01,Kolkata,56.75,100.32,40.83,11.42,1.39,13.56,151.42
2025-09-02,Kolkata,29.94,159.28,47.35,14.42,1.29,22.57,88.33
2025-09-03,Kolkata,35.83,68.72,28.97,14.38,1.9,16.61,101.08
2025-09-04,Kolkata,44.63,113.64,30.93,10.64,1.72,24.52,123.08
2025-09-05,Kolkata,51.03,85.2,31.18,7.0,0.94,21.43,139.07
