date,city,meantemp,humidity,wind_speed,meanpressure
2025-07-15,Bengaluru,25.49,65.27,7.77,0.997
2025-07-16,Bengaluru,27.5,62.41,11.24,1.019
2025-07-17,Bengaluru,27.56,64.38,7.74,1.008
2025-07-18,Bengaluru,25.31,61.99,6.16,0.997
2025-07-19,Bengaluru,28.43,65.24,4.08,1.009
2025-07-20,Bengaluru,29.33,69.25,9.7,1.01
2025-07-21,Bengaluru,25.59,56.39,8.34,1.014
2025-07-22,Bengaluru,29.79,69.49,7.38,0.998
2025-07-23,Bengaluru,26.51,64.19,7.24,1.004
2025-07-24,Bengaluru,27.59,59.87,6.39,1.013
2025-07-25,Bengaluru,26.22,64.36,8.19,0.999
2025-07-26,Bengaluru,25.99,71.52,5.32,0.989
2025-07-27,Bengaluru,23.17,63.07,7.71,1.009
2025-07-28,Bengaluru,29.26,46.85,8.44,1.026
2025-07-29,Bengaluru,24.52,60.61,6.14,1.001
2025-07-30,Bengaluru,26.06,71.46,11.32,1.007
2025-07-31,Bengaluru,30.46,63.1,11.16,1.009
2025-08-01,Bengaluru,26.85,65.08,14.01,1.019
2025-08-02,Bengaluru,25.12,68.71,6.92,1.005
2025-08-03,Bengaluru,28.29,63.08,8.21,1.01
2025-08-04,Bengaluru,27.09,65.44,3.77,1.017
2025-08-05,Bengaluru,24.39,54.24,7.53,1.011
2025-08-06,Bengaluru,24.91,67.88,4.96,1.006
2025-08-07,Bengaluru,25.07,62.61,8.21,1.0
2025-08-08,Bengaluru,27.64,63.27,3.86,0.99
2025-08-09,Bengaluru,26.11,61.57,7.44,1.01
2025-08-10,Bengaluru,26.53,68.58,5.43,0.998
2025-08-11,Bengaluru,23.84,64.62,10.14,1.006
2025-08-12,Bengaluru,20.97,52.67,5.98,1.004
2025-08-13,Bengaluru,25.11,63.12,7.03,1.02
2025-08-14,Bengaluru,24.52,57.72,8.61,0.995
2025-08-15,Bengaluru,26.6,63.51,7.35,1.026
2025-08-16,Bengaluru,24.53,75.25,7.2,0.997
2025-08-17,Bengaluru,25.86,56.43,6.15,1.014
2025-08-18,Bengaluru,26.79,59.16,9.62,1.022
2025-08-19,Bengaluru,28.5,66.07,10.38,0.991
2025-08-20,Bengaluru,24.95,57.69,7.89,1.004
2025-08-21,Bengaluru,25.21,74.18,7.31,1.014
2025-08-22,Bengaluru,25.03,63.35,7.66,1.014
2025-08-23,Bengaluru,27.78,72.78,8.27,1.016
2025-08-24,Bengaluru,23.11,62.36,9.53,1.019
2025-08-25,Bengaluru,25.79,68.21,8.63,1.022
2025-08-26,Bengaluru,25.91,60.76,8.32,0.981
2025-08-27,Bengaluru,26.05,41.0,4.2,1.015
2025-08-28,Bengaluru,26.21,55.92,6.22,1.024
2025-08-29,Bengaluru,24.25,76.35,7.64,1.014
2025-08-30,Bengaluru,28.41,63.68,5.64,1.009
2025-08-31,Bengaluru,25.07,54.7,7.14,1.003
2025-09-01,Bengaluru,26.96,63.1,7.08,1.009
2025-09-02,Bengaluru,25.52,66.59,5.65,1.0
2025-09-03,Bengaluru,27.25,60.42,4.81,1.014
2025-09-04,Bengaluru,25.94,53.71,8.11,1.017
2025-09-05,Bengaluru,25.73,66.68,4.84,1.013
2025-09-06,Bengaluru,24.35,59.99,9.39,1.025
2025-09-07,Bengaluru,28.51,70.78,7.43,1.014
2025-09-08,Bengaluru,26.43,63.62,7.91,1.018
2025-09-09,Bengaluru,24.75,58.52,6.82,1.016
2025-09-10,Bengaluru,24.85,64.93,8.99,1.006
2025-09-11,Bengaluru,26.34,65.16,5.18,1.024
2025-09-12,Bengaluru,23.8,52.96,5.56,1.0
2025-09-13,Bengaluru,24.88,61.25,6.97,1.016
2025-09-14,Bengaluru,25.44,64.79,8.47,1.016
2025-09-15,Bengaluru,20.52,60.7,3.29,1.01
2025-09-16,Bengaluru,24.71,69.16,10.02,1.012
2025-09-17,Bengaluru,23.71,65.8,6.59,1.01
2025-09-18,Bengaluru,26.66,59.54,9.26,1.017
2025-09-19,Bengaluru,22.77,68.73,9.05,1.011
2025-09-20,Bengaluru,23.14,57.74,6.57,1.015
2025-09-21,Bengaluru,22.74,65.52,5.17,1.008
2025-09-22,Bengaluru,24.86,77.56,4.89,1.025
2025-09-23,Bengaluru,24.93,65.36,7.89,1.014
2025-09-24,Bengaluru,24.31,71.62,6.74,1.021
2025-09-25,Bengaluru,23.33,62.53,5.5,1.015
2025-09-26,Bengaluru,27.5,62.43,7.25,0.999
2025-09-27,Bengaluru,24.14,53.33,5.82,1.012
2025-09-28,Bengaluru,27.24,79.75,6.48,1.024
2025-07-01,Kolkata,30.01,63.32,8.74,1.011
2025-07-02,Kolkata,29.67,61.78,5.08,0.995
2025-07-03,Kolkata,30.69,62.57,6.68,1.01
2025-07-04,Kolkata,30.9,65.31,6.56,1.022
2025-07-05,Kolkata,32.4,67.2,9.82,1.022
2025-07-06,Kolkata,31.44,67.91,9.07,1.015
2025-07-07,Kolkata,26.91,68.43,5.16,1.002
2025-07-08,Kolkata,31.65,69.27,10.85,1.007
2025-07-09,Kolkata,26.67,62.79,8.08,1.011
2025-07-10,Kolkata,31.17,62.06,8.58,1.0
2025-07-11,Kolkata,29.73,64.25,6.37,1.008
2025-07-12,Kolkata,28.4,62.61,11.41,1.009
2025-07-13,Kolkata,28.21,51.64,6.08,1.007
2025-07-14,Kolkata,27.26,72.52,7.54,1.023
2025-07-15,Kolkata,28.69,64.45,7.69,1.01
2025-07-16,Kolkata,31.93,50.31,3.87,1.005
2025-07-17,Kolkata,28.46,68.37,8.82,1.006
2025-07-18,Kolkata,30.4,70.41,8.24,1.02
2025-07-19,Kolkata,28.84,60.86,9.27,1.011
2025-07-20,Kolkata,28.24,73.07,2.97,0.996
2025-07-21,Kolkata,25.79,62.05,7.36,0.995
2025-07-22,Kolkata,26.13,59.06,12.79,1.028
2025-07-23,Kolkata,27.22,62.05,5.57,0.991
2025-07-24,Kolkata,27.74,58.24,7.7,0.994
2025-07-25,Kolkata,26.39,65.12,8.6,1.014
2025-07-26,Kolkata,25.21,69.36,6.27,1.016
2025-07-27,Kolkata,27.76,55.97,7.24,1.014
2025-07-28,Kolkata,28.95,63.38,10.93,1.02
2025-07-29,Kolkata,27.15,68.73,11.74,1.03
2025-07-30,Kolkata,25.14,58.67,10.84,0.999
2025-07-31,Kolkata,24.9,61.31,8.71,1.009
2025-08-01,Kolkata,26.18,60.18,6.45,1.001
2025-08-02,Kolkata,31.98,66.01,9.64,1.005
2025-08-03,Kolkata,26.99,59.95,2.57,0.996
2025-08-04,Kolkata,23.68,50.73,5.48,1.023
2025-08-05,Kolkata,27.16,71.97,8.69,1.018
2025-08-06,Kolkata,25.39,67.37,9.33,1.004
2025-08-07,Kolkata,28.25,67.63,6.77,0.999
2025-08-08,Kolkata,24.71,64.75,8.53,1.002
2025-08-09,Kolkata,27.08,67.65,9.11,1.026
2025-08-10,Kolkata,29.52,58.22,11.24,1.005
2025-08-11,Kolkata,29.01,64.64,7.05,0.992
2025-08-12,Kolkata,26.52,54.87,9.81,1.025
2025-08-13,Kolkata,25.22,66.04,6.42,1.004
2025-08-14,Kolkata,28.31,64.0,11.35,1.005
2025-08-15,Kolkata,28.71,64.81,9.46,1.006
2025-08-16,Kolkata,26.56,63.54,6.2,1.017
2025-08-17,Kolkata,27.92,67.79,10.95,1.024
2025-08-18,Kolkata,25.82,66.47,6.62,1.01
2025-08-19,Kolkata,25.32,73.95,8.6,1.008
2025-08-20,Kolkata,28.86,51.2,3.84,1.018
2025-08-21,Kolkata,26.55,65.73,5.22,1.01
2025-08-22,Kolkata,30.39,69.17,8.21,1.006
2025-08-23,Kolkata,25.55,51.45,8.39,1.018
2025-08-24,Kolkata,23.15,60.26,5.56,1.0
2025-08-25,Kolkata,26.37,51.72,9.1,1.018
2025-08-26,Kolkata,25.72,49.34,5.88,1.022
2025-08-27,Kolkata,20.62,62.14,5.51,1.018
2025-08-28,Kolkata,24.79,66.65,9.0,1.028
2025-08-29,Kolkata,25.7,66.48,4.9,1.022
2025-08-30,Kolkata,24.55,60.86,7.83,0.994
2025-08-31,Kolkata,26.49,70.03,8.46,0.994
2025-09-01,Kolkata,25.75,68.68,4.12,0.999
2025-09-02,Kolkata,27.72,65.85,8.7,1.029
2025-09-03,Kolkata,26.87,68.18,13.29,1.008
2025-09-04,Kolkata,24.31,66.79,8.75,1.005
2025-09-05,Kolkata,23.81,78.09,8.53,1.003
2025-09-06,Kolkata,27.67,63.57,7.37,1.016
2025-09-07,Kolkata,23.23,66.34,11.7,1.015
2025-09-08,Kolkata,25.04,61.19,7.05,1.007
2025-09-09,Kolkata,25.01,69.73,4.4,1.019
2025-09-10,Kolkata,24.98,66.49,5.62,1.023
2025-09-11,Kolkata,28.21,69.99,4.84,1.018
2025-09-12,Kolkata,26.5,54.6,7.82,1.014
2025-09-13,Kolkata,26.78,65.29,8.45,1.025
2025-09-14,Kolkata,28.1,47.03,7.24,1.008
2025-09-15,Kolkata,22.13,64.79,10.37,0.999
2025-09-16,Kolkata,26.29,58.73,6.53,1.025
2025-09-17,Kolkata,24.51,67.0,4.13,1.029
2025-09-18,Kolkata,26.79,63.13,9.02,0.996
2025-09-19,Kolkata,27.93,62.28,7.46,1.005
2025-09-20,Kolkata,24.39,68.4,8.38,1.017
2025-09-21,Kolkata,25.52,67.31,7.03,1.032
2025-09-22,Kolkata,22.39,71.79,10.61,1.001
2025-09-23,Kolkata,29.98,70.2,9.81,1.01
2025-09-24,Kolkata,25.08,62.97,8.65,1.024
2025-09-25,Kolkata,25.87,58.76,9.52,1.019
2025-09-26,Kolkata,26.81,68.7,7.33,1.001
2025-09-27,Kolkata,23.76,54.42,8.35,1.009
2025-09-28,Kolkata,24.61,46.49,5.38,1.021
2025-07-01,Chennai,27.32,65.09,4.87,1.024
2025-07-02,Chennai,28.29,64.67,12.31,1.025
2025-07-03,Chennai,27.9,59.37,7.0,1.015
2025-07-04,Chennai,28.23,60.55,10.59,1.009
2025-07-05,Chennai,32.97,63.47,11.22,1.014
2025-07-06,Chennai,30.23,58.58,5.95,1.015
2025-07-07,Chennai,30.22,63.17,5.08,0.996
2025-07-08,Chennai,25.32,52.32,7.87,1.021
2025-07-09,Chennai,28.07,49.36,7.27,1.008
2025-07-10,Chennai,32.23,54.18,6.87,1.027
2025-07-11,Chennai,28.87,66.3,7.88,1.013
2025-07-12,Chennai,29.45,58.07,9.41,0.996
2025-07-13,Chennai,28.49,64.0,6.42,1.01
2025-07-14,Chennai,26.52,56.49,6.95,0.999
2025-07-15,Chennai,28.34,56.02,9.08,0.998
2025-07-16,Chennai,26.5,59.18,10.3,1.013
2025-07-17,Chennai,27.14,65.92,3.44,1.01
2025-07-18,Chennai,31.49,63.72,7.79,1.015
2025-07-19,Chennai,29.22,50.94,4.29,1.012
2025-07-20,Chennai,25.93,70.8,7.02,0.991
2025-07-21,Chennai,24.76,46.43,7.19,1.008
2025-07-22,Chennai,26.39,69.4,10.05,1.008
2025-07-23,Chennai,22.9,66.63,8.76,1.013
2025-07-24,Chennai,29.07,55.94,11.67,1.0
2025-07-25,Chennai,28.54,52.8,5.79,1.025
2025-07-26,Chennai,26.46,67.96,8.13,1.009
2025-07-27,Chennai,29.64,61.5,4.09,1.002
2025-07-28,Chennai,27.96,65.3,4.52,1.003
2025-07-29,Chennai,25.63,60.73,4.9,1.004
2025-07-30,Chennai,25.27,67.55,9.27,1.009
2025-07-31,Chennai,25.89,63.76,6.02,0.999
2025-08-01,Chennai,24.73,59.12,5.33,1.012
2025-08-02,Chennai,28.01,53.4,7.7,1.008
2025-08-03,Chennai,27.18,62.85,4.75,0.997
2025-08-04,Chennai,26.49,69.1,3.23,1.013
2025-08-05,Chennai,28.76,62.01,8.75,1.003
2025-08-06,Chennai,26.08,53.2,2.97,1.019
2025-08-07,Chennai,24.3,60.19,4.88,0.996
2025-08-08,Chennai,25.86,58.55,8.41,1.015
2025-08-09,Chennai,26.8,64.36,10.81,0.999
2025-08-10,Chennai,25.99,69.72,10.18,0.996
2025-08-11,Chennai,25.42,71.07,8.67,1.012
2025-08-12,Chennai,25.56,60.62,8.23,1.007
2025-08-13,Chennai,25.86,63.4,6.3,1.015
2025-08-14,Chennai,31.72,52.26,8.3,1.002
2025-08-15,Chennai,27.0,63.2,9.18,1.022
2025-08-16,Chennai,26.18,69.72,2.97,1.026
2025-08-17,Chennai,26.5,69.39,5.21,1.002
2025-08-18,Chennai,25.99,62.82,8.22,1.021
2025-08-19,Chennai,22.12,68.77,7.67,1.008
2025-08-20,Chennai,22.66,65.94,2.83,1.016
2025-08-21,Chennai,22.58,63.25,7.42,1.022
2025-08-22,Chennai,25.16,58.76,6.64,1.023
2025-08-23,Chennai,26.55,60.61,7.18,0.994
2025-08-24,Chennai,26.21,52.37,9.16,1.011
2025-08-25,Chennai,30.16,56.32,7.45,1.028
2025-08-26,Chennai,27.73,58.75,8.1,1.01
2025-08-27,Chennai,25.88,58.73,7.48,0.994
2025-08-28,Chennai,25.54,65.62,7.2,0.994
2025-08-29,Chennai,27.21,65.11,6.2,1.007
2025-08-30,Chennai,22.2,56.77,6.58,1.022
2025-08-31,Chennai,23.88,66.77,6.58,1.012
2025-09-01,Chennai,24.85,68.16,6.58,0.994
2025-09-02,Chennai,22.33,59.73,5.16,1.014
2025-09-03,Chennai,24.13,77.17,4.18,1.012
2025-09-04,Chennai,22.78,59.96,7.94,0.987
2025-09-05,Chennai,25.48,74.34,6.75,1.013
2025-09-06,Chennai,27.02,61.94,6.49,0.987
2025-09-07,Chennai,26.23,62.25,5.63,1.011
2025-09-08,Chennai,23.75,59.75,8.87,0.997
2025-09-09,Chennai,26.99,54.54,6.33,1.029
2025-09-10,Chennai,27.12,63.51,5.77,1.005
2025-09-11,Chennai,24.99,63.15,7.47,1.01
2025-09-12,Chennai,24.39,54.27,6.62,1.019
2025-09-13,Chennai,22.07,61.79,6.01,1.011
2025-09-14,Chennai,24.0,71.79,8.67,0.997
2025-09-15,Chennai,26.11,58.28,6.5,1.013
2025-09-16,Chennai,23.76,68.28,6.11,1.004
2025-09-17,Chennai,23.42,59.53,9.85,1.016
2025-09-18,Chennai,28.13,76.53,5.59,1.011
2025-09-19,Chennai,22.35,58.26,6.39,0.999
2025-09-20,Chennai,22.58,62.06,5.22,1.018
2025-09-21,Chennai,22.84,79.78,6.75,1.011
2025-09-22,Chennai,22.07,73.16,9.89,1.013
2025-09-23,Chennai,21.96,64.19,5.41,1.025
2025-09-24,Chennai,26.26,63.5,2.78,1.0
2025-09-25,Chennai,26.01,70.2,9.87,0.994
2025-09-26,Chennai,25.23,69.02,4.34,1.01
2025-09-27,Chennai,25.17,61.12,3.95,1.007
2025-09-28,Chennai,23.97,62.04,6.53,1.006
2025-07-01,Hyderabad,29.43,66.87,7.26,1.006
2025-07-02,Hyderabad,29.63,52.69,8.82,1.01
2025-07-03,Hyderabad,29.45,69.98,3.96,0.99
2025-07-04,Hyderabad,29.85,64.17,8.21,1.005
2025-07-05,Hyderabad,30.56,69.81,8.84,1.007
2025-07-06,Hyderabad,24.95,68.83,10.31,1.016
2025-07-07,Hyderabad,27.34,68.26,9.59,1.026
2025-07-08,Hyderabad,27.28,62.86,9.36,1.011
2025-07-09,Hyderabad,26.73,66.7,9.03,1.011
2025-07-10,Hyderabad,29.33,62.66,10.83,1.001
2025-07-11,Hyderabad,27.65,64.28,9.63,0.995
2025-07-12,Hyderabad,26.14,51.99,7.93,0.999
2025-07-13,Hyderabad,27.92,68.18,6.59,1.012
2025-07-14,Hyderabad,28.02,68.25,8.82,1.003
2025-07-15,Hyderabad,28.22,70.48,8.66,0.996
2025-07-16,Hyderabad,29.8,57.71,10.69,1.02
2025-07-17,Hyderabad,29.0,65.16,7.45,1.017
2025-07-18,Hyderabad,27.61,65.63,9.61,1.004
2025-07-19,Hyderabad,27.06,57.05,5.74,0.992
2025-07-20,Hyderabad,29.68,75.07,10.72,0.994
2025-07-21,Hyderabad,29.61,72.75,6.96,1.011
2025-07-22,Hyderabad,24.08,65.82,5.74,1.012
2025-07-23,Hyderabad,24.91,67.47,9.92,1.002
2025-07-24,Hyderabad,25.69,51.28,7.34,1.004
2025-07-25,Hyderabad,24.8,66.93,6.97,0.999
2025-07-26,Hyderabad,26.73,70.64,9.08,1.009
2025-07-27,Hyderabad,29.02,57.25,7.93,1.011
2025-07-28,Hyderabad,26.78,66.83,6.31,1.015
2025-07-29,Hyderabad,28.76,46.71,10.25,0.98
2025-07-30,Hyderabad,26.36,70.37,7.23,0.995
